category,severity,language,canonical_term,match_type,variants_or_patterns,acronym,recommended_action,notes
severe_insult,high,fr,"fils de pute",phrase,"fils2pute|fils de p***|fils d pute","fdp","warn_or_kick","Insulte grave"
severe_insult,high,fr,"nique ta mère",phrase,"nique ta mere|niq ta mere","ntm","warn_or_kick","Insulte grave"
severe_insult,high,fr,"ta gueule",phrase,"tgueule|ta guele|ferme ta gueule","tg","warn","Agressif"
severe_insult,high,fr,"enculé",word,"encule|enculée|enculer","","warn_or_kick","Insulte grave"
severe_insult,high,fr,"connard",word,"connar|conard|konard|konar|c0nnard|c0nnar|k0nnard|conn4rd","","warn","Insulte grave - toutes variantes"
severe_insult,high,fr,"connasse",word,"conasse|konasse","","warn","Insulte grave"
severe_insult,high,fr,"salope",word,"salop|salo p e","","warn_or_kick","Insulte sexiste"
severe_insult,high,fr,"pute",word,"puteee|put1","","warn_or_kick","Insulte grave"
severe_insult,high,fr,"bâtard",word,"batard|batar","","warn","Insulte grave"
severe_insult,high,fr,"sale con",phrase,"sale c0n","","warn","Insulte grave"
severe_insult,high,fr,"va te faire foutre",phrase,"va tfaire foutre|va te faire f","vtff","warn_or_kick","Insulte grave"
moderate_toxicity,medium,fr,"idiot",word,"idiote|idi0t","","warn","Toxicité modérée"
moderate_toxicity,medium,fr,"débile",word,"debile|deb1le","","warn","Toxicité modérée"
moderate_toxicity,medium,fr,"nul",word,"nulle","","warn","Attaque légère"
moderate_toxicity,medium,fr,"noob",word,"n00b|newbie","","warn","Insulte jeu"
moderate_toxicity,medium,fr,"tu sers à rien",phrase,"tu sert a rien","","warn","Attaque personnelle"
moderate_toxicity,medium,fr,"t'es mauvais",phrase,"tes mauvais|t mauvais","","warn","Insulte jeu"
moderate_toxicity,medium,fr,"bouffon",word,"boufon|bouff0n","","warn","Insulte courante"
moderate_toxicity,medium,fr,"guignol",word,"guigno1","","warn","Moquerie"
moderate_toxicity,medium,fr,"clown",word,"cl0wn","","warn","Moquerie"
threat_violence,critical,fr,"je vais te tuer",phrase,"jvais te tuer|jte tue","","kick","Menace explicite"
threat_violence,critical,fr,"je vais te frapper",phrase,"jvais te trapper|jte frappe","","kick","Menace physique"
threat_violence,critical,fr,"on va te retrouver",phrase,"on va te retrouv3r","","kick","Menace / intimidation"
threat_violence,critical,fr,"tu vas mourir",phrase,"tu va mourir","","kick","Menace explicite"
threat_violence,critical,fr,"crève",word,"creve","","kick","Souhait de mort"
threat_violence,critical,fr,"meurs",word,"meur|meurt","","kick","Souhait de mort"
threat_violence,critical,fr,"suicide-toi",word,"suicide toi","","kick","Incitation dangereuse"
sexual_inappropriate,high,fr,"suce",word,"suce moi|suc3","","warn_or_kick","Sexuel explicite"
sexual_inappropriate,high,fr,"baise",word,"baiser|baiz","","warn_or_kick","Sexuel explicite"
sexual_inappropriate,high,fr,"branleur",word,"branleur*","","warn","Sexuel / insultant"
sexual_inappropriate,high,fr,"bite",word,"b1te","","warn_or_kick","Sexuel explicite"
sexual_inappropriate,high,fr,"chatte",word,"chatt3","","warn_or_kick","Sexuel explicite"
